Índice de Precios de Consumo (IPC)
Resultados por comunidades autónomas
Ponderaciones por comunidades autónomas de rúbricas
Unidades:   Tanto por mil

,2020,2019,2018,2017,
Nacional,
    Conservación de la vivienda,39,943,38,539,39,788,40,007,
    Muebles y revestimientos de suelo,12,034,12,923,12,096,12,279,
    Textiles y accesorios para el hogar,5,747,5,823,6,085,6,165,
    Electrodomésticos y reparaciones,9,842,9,868,9,982,10,191,
    Utensilios y herramientas para el hogar,4,64,5,001,4,951,4,764,
    Artículos no duraderos para el hogar,13,587,13,661,13,656,13,811,
    Servicios para el hogar,16,13,15,512,15,921,15,732,
    Servicios médicos y similares,14,449,14,445,20,15,20,109,
    Medicamentos y material terapéutico,22,615,21,871,17,44,17,438,
    Transporte personal,137,54,138,958,131,583,130,985,
    Transporte público urbano,4,085,3,841,3,958,3,911,
    Transporte público interurbano,8,567,8,145,8,576,8,4,
    Comunicaciones,39,131,38,355,37,351,36,919,
    Objetos recreativos,19,149,19,51,20,111,20,089,
    Publicaciones,6,558,6,469,6,842,7,23,
    Esparcimiento,27,741,27,767,27,723,27,553,
    Educación infantil y primaria,4,985,5,002,5,171,5,229,
    Educación secundaria,2,676,2,666,2,71,2,691,
    Educación universitaria,7,378,7,337,7,644,7,681,
    Otros gastos de enseñanza,5,132,5,189,5,369,5,244,
    Artículos de uso personal,21,183,20,555,21,254,20,81,
    Turismo y hostelería,129,25,133,133,132,18,129,258,
    Otros bienes y servicios,37,667,37,986,37,74,37,722,
08 Castilla - La Mancha,
    Cereales y derivados,18,208,16,967,18,174,18,654,
    Pan,14,764,13,47,14,468,14,739,
    Carne de vacuno,5,439,5,106,5,468,5,551,
    Carne de ovino,4,758,4,52,4,663,4,772,
    Carne de porcino,11,41,10,778,10,567,11,334,
    Carne de ave,9,095,8,522,8,7,9,115,
    Otras carnes,25,327,24,064,25,399,25,751,
    Pescado fresco y congelado,12,688,12,003,12,864,13,022,
    Crustáceos, moluscos y preparados de pescado,13,896,13,323,13,856,13,85,
    Huevos,2,698,2,778,2,607,2,735,
    Leche,8,843,8,752,9,312,9,646,
    Productos lácteos,14,092,14,411,14,614,15,075,
